dimitrov_g._hard simon_g._hard 1.66 2.2
kudla_d._hard smith_j.p._hard 1.57 2.37
kamke_t._hard mitchell_b._hard 1.77 2
chung_h._hard groth_s._hard 1.82 1.95
goffin_d._hard bellucci_t._hard 1.29 3.56
troicki_v._hard johnson_s._hard 2.17 1.67
thiem_d._hard duckworth_j._hard 1.32 3.29
stepanek_r._hard lajovic_d._hard 1.94 1.82
dodig_i._hard anderson_o._hard 1.06 8.73
pouille_l._hard nishioka_y._hard 2.28 1.61
kukushkin_m._hard istomin_d._hard 2.09 1.71
tomic_b._hard mahut_n._hard 1.2 4.42
thiem_d._hard kudla_d._hard 1.41 2.85
nishikori_k._hard kukushkin_m._hard 1.16 4.99
cilic_m._hard chung_h._hard 1.34 3.2
tomic_b._hard stepanek_r._hard 1.31 3.4
pouille_l._hard goffin_d._hard 4.95 1.16
raonic_m._hard dodig_i._hard 1.27 3.69
dimitrov_g._hard troicki_v._hard 1.35 3.19
federer_r._hard kamke_t._hard 1.06 8.89
raonic_m._hard pouille_l._hard 1.18 4.72
tomic_b._hard nishikori_k._hard 3.32 1.32
thiem_d._hard cilic_m._hard 2.98 1.39
federer_r._hard dimitrov_g._hard 1.18 4.76
raonic_m._hard tomic_b._hard 1.5 2.57
federer_r._hard thiem_d._hard 1.1 6.77
raonic_m._hard federer_r._hard 3.89 1.26
millman_j._hard donskoy_e._hard 1.56 2.38
pavic_a._hard almagro_n._hard 2.88 1.4
coric_b._hard granollers-pujol_m._hard 1.42 2.8
garcia-lopez_g._hard daniel_t._hard 1.5 2.53
rublev_a._hard devvarman_s._hard 1.71 2.12
krajicek_a._hard ramirez_hidalgo_r._hard 2.03 1.76
rosol_l._hard giraldo_s._hard 1.46 2.68
ramanathan_r._hard gimeno-traver_d._hard 1.98 1.8
vanni_l._hard struff_j.l._hard 2.09 1.71
muller_g._hard khachanov_k._hard 1.34 3.18
fabbiano_t._hard kovalik_j._hard 1.53 2.47
bedene_a._hard pospisil_v._hard 2.5 1.52
coric_b._hard krajicek_a._hard 1.29 3.5
garcia-lopez_g._hard pavic_a._hard 1.37 3.02
wawrinka_s._hard rublev_a._hard 1.1 6.61
bautista_r._hard millman_j._hard 1.3 3.42
fabbiano_t._hard muller_g._hard 4.7 1.18
paire_b._hard rosol_l._hard 1.53 2.48
bedene_a._hard vanni_l._hard 1.37 3.03
ramanathan_r._hard kudryavtsev_a._hard 1.85 1.93
paire_b._hard fabbiano_t._hard 1.2 4.45
wawrinka_s._hard garcia-lopez_g._hard 1.18 4.8
bedene_a._hard ramanathan_r._hard 1.18 4.81
coric_b._hard bautista_r._hard 2.95 1.39
