thompson_j. ymer_e. 1.29 3.5
mahut_n. robert_s. 1.54 2.43
ferrer_d. tomic_b. 2.01 1.77
edmund_k. escobedo_e. 1.37 3.01
dimitrov_g. johnson_s. 1.41 2.85
donaldson_j. muller_g. 2.64 1.47
groth_s. herbert_p.h. 2.27 1.61
pouille_l. simon_g. 1.83 1.94
troicki_v. nishioka_y. 1.49 2.57
schwartzman_d. querrey_s. 2.18 1.66
zverev_m. de_minaur_a. 1.45 2.7
nadal-parera_r. dolgopolov_o. 1.14 5.34
nishikori_k. donaldson_j. 1.11 6.37
thompson_j. ferrer_d. 4.46 1.2
edmund_k. pouille_l. 2.51 1.51
wawrinka_s. troicki_v. 1.31 3.39
dimitrov_g. mahut_n. 1.2 4.39
thiem_d. groth_s. 1.2 4.4
raonic_m. schwartzman_d. 1.13 5.66
nadal-parera_r. zverev_m. 1.11 6.16
wawrinka_s. edmund_k. 1.3 3.48
nishikori_k. thompson_j. 1.15 5.52
dimitrov_g. thiem_d. 1.68 2.16
raonic_m. nadal-parera_r. 2.4 1.56
nishikori_k. wawrinka_s. 1.61 2.3
dimitrov_g. raonic_m. 2.7 1.45
dimitrov_g. nishikori_k. 2.65 1.48
darcis_s. mektic_n. 1.23 4.06
sela_d. dzumhur_d. 2.02 1.77
medvedev_d. monteiro_t. 1.21 4.3
kovalik_j. elias_g. 1.5 2.55
chung_h. coric_b. 1.74 2.06
olivo_r. ruud_c. 1.85 1.92
bedene_a. garcia-lopez_g. 1.69 2.13
lu_y.h. albot_r. 1.26 3.68
paire_b. kravchuk_k. 1.5 2.54
bhambri_y. ramanathan_r. 1.44 2.75
dutra_silva_r. lajovic_d. 2.97 1.38
youzhny_m. myneni_s. 1.4 2.87
medvedev_d. lu_y.h. 2.37 1.57
ramos-vinolas_a. darcis_s. 1.82 1.95
kovalik_j. cilic_m. 6.9 1.09
sela_d. chung_h. 2.72 1.44
youzhny_m. olivo_r. 1.32 3.36
bautista_r. dutra_silva_r. 1.12 6.17
paire_b. bhambri_y. 1.48 2.6
bedene_a. klizan_m. 1.58 2.34
medvedev_d. kovalik_j. 1.41 2.86
sela_d. ramos-vinolas_a. 2.63 1.47
paire_b. bedene_a. 1.66 2.19
bautista_r. youzhny_m. 1.24 3.94
medvedev_d. sela_d. 1.64 2.23
bautista_r. paire_b. 1.45 2.71
bautista_r. medvedev_d. 1.29 3.62
brown_d. bagnis_f. 1.36 3.1
vesely_j. yuksel_a. 1.07 8.57
almagro_n. lorenzi_p. 1.68 2.14
djokovic_n. struff_j.l. 1.03 12.47
zeballos_h. mayer_f. 2.47 1.53
goffin_d. haase_r. 1.15 5.32
stepanek_r. baghdatis_m. 2.18 1.65
de_greef_a. safwat_m. 2.35 1.56
verdasco_f. pospisil_v. 1.8 1.98
khachanov_k. zayid_m._s. 1.01 20.94
kohlschreiber_p. jaziri_m. 1.39 2.9
melzer_g. mathieu_p.h. 2.15 1.68
tsonga_j.w. kuznetsov_an. 1.29 3.5
karlovic_i. marchenko_i. 1.41 2.82
murray_a. chardy_j. 1.04 11.77
berdych_t. giannessi_a. 1.07 8.1
almagro_n. kohlschreiber_p. 2.43 1.54
verdasco_f. goffin_d. 3.25 1.33
stepanek_r. de_greef_a. 1.24 3.99
berdych_t. vesely_j. 1.3 3.44
djokovic_n. zeballos_h. 1.02 16.32
murray_a. melzer_g. 1.01 17.24
karlovic_i. khachanov_k. 1.62 2.25
tsonga_j.w. brown_d. 1.17 4.88
verdasco_f. karlovic_i. 1.77 2.02
djokovic_n. stepanek_r. 1.02 15.26
murray_a. almagro_n. 1.05 10.56
berdych_t. tsonga_j.w. 2.22 1.64
djokovic_n. verdasco_f. 1.09 7.57
murray_a. berdych_t. 1.14 5.45
djokovic_n. murray_a. 2.21 1.66
johnson_s. robert_s. 1.33 3.24
haase_r. tearney_f. 1.14 5.5
vesely_j. zeballos_h. 1.41 2.82
jaziri_m. schwartzman_d. 2.56 1.49
lopez_f. venus_m. 1.04 10.72
brown_d. mmoh_m. 1.89 1.89
klein_b. bagnis_f. 2.02 1.76
harrison_r. garcia-lopez_g. 1.43 2.75
sousa_j. ramos-vinolas_a. 2.14 1.68
lu_y.h. khachanov_k. 2.03 1.76
baghdatis_m. mannarino_a. 2.22 1.64
chardy_j. sitak_a. 1.06 8.96
haase_r. ferrer_d. 4.12 1.23
sousa_j. klein_b. 1.26 3.74
johnson_s. lu_y.h. 1.76 2.03
isner_j. jaziri_m. 1.21 4.29
vesely_j. statham_j. 1.05 10.28
baghdatis_m. brown_d. 1.48 2.65
chardy_j. lopez_f. 2.13 1.7
sock_j. harrison_r. 1.4 2.86
sousa_j. haase_r. 1.64 2.24
johnson_s. isner_j. 2.3 1.61
baghdatis_m. vesely_j. 1.7 2.13
sock_j. chardy_j. 1.37 3.04
sousa_j. baghdatis_m. 2.09 1.73
sock_j. johnson_s. 1.56 2.4
sock_j. sousa_j. 1.4 2.93
mahut_n. bellucci_t. 1.65 2.19
barton_m. edmund_k. 3.57 1.28
evans_d. monteiro_t. 1.43 2.78
elias_g. o'connell_c. 1.63 2.25
lorenzi_p. mayer_f. 2.05 1.75
kohlschreiber_p. fognini_f. 1.58 2.32
de_minaur_a. paire_b. 2.43 1.54
kuznetsov_an. klizan_m. 1.43 2.75
zverev_m. almagro_n. 1.83 1.94
muller_g. dolgopolov_o. 1.57 2.37
granollers-pujol_m. giraldo_s. 1.62 2.25
thompson_j. basilashvili_n. 1.5 2.53
cuevas_p. mahut_n. 2.23 1.64
muller_g. barton_m. 1.3 3.43
carreno-busta_p. zverev_m. 1.94 1.83
kohlschreiber_p. thompson_j. 1.52 2.5
evans_d. granollers-pujol_m. 1.99 1.8
troicki_v. lorenzi_p. 1.33 3.27
kuznetsov_an. de_minaur_a. 1.32 3.27
thiem_d. elias_g. 1.14 5.53
muller_g. cuevas_p. 1.62 2.27
troicki_v. kohlschreiber_p. 1.75 2.05
kuznetsov_an. carreno-busta_p. 2.05 1.76
evans_d. thiem_d. 3.87 1.25
muller_g. troicki_v. 2.26 1.63
evans_d. kuznetsov_an. 2.39 1.57
muller_g. evans_d. 1.52 2.54
de_minaur_a. melzer_g. 2.45 1.54
chardy_j. almagro_n. 1.81 1.97
troicki_v. dzumhur_d. 1.22 4.25
estrella_v. bedene_a. 5.07 1.16
harrison_r. mahut_n. 1.68 2.15
nishikori_k. kuznetsov_an. 1.09 7.23
zverev_m. garcia-lopez_g. 1.29 3.51
querrey_s. halys_q. 1.36 3.1
berdych_t. vanni_l. 1.04 11.34
tomic_b. bellucci_t. 1.39 2.97
rublev_a. lu_y.h. 3.01 1.38
isner_j. kravchuk_k. 1.1 6.71
cilic_m. janowicz_j. 1.1 6.78
jaziri_m. soeda_g. 1.57 2.37
murray_a. marchenko_i. 1.01 22.91
lajovic_d. robert_s. 2.01 1.79
schwartzman_d. cuevas_p. 2.02 1.77
lacko_l. ramos-vinolas_a. 2.17 1.67
khachanov_k. mannarino_a. 1.7 2.12
lorenzi_p. duckworth_j. 2.17 1.67
seppi_a. mathieu_p.h. 1.36 3.13
rubin_n. fratangelo_b. 2.31 1.6
bublik_a. pouille_l. 3.96 1.25
sela_d. granollers-pujol_m. 1.98 1.8
evans_d. bagnis_f. 1.28 3.61
tsonga_j.w. monteiro_t. 1.02 14.21
sock_j. herbert_p.h. 1.2 4.43
johnson_s. delbonis_f. 1.26 3.8
kyrgios_n. elias_g. 1.07 8.06
wawrinka_s. klizan_m. 1.05 10.2
darcis_s. groth_s. 1.57 2.35
federer_r. melzer_j. 1.04 11.25
kohlschreiber_p. basilashvili_n. 1.22 4.23
dutra_silva_r. donaldson_j. 4.02 1.23
young_d. fabbiano_t. 1.5 2.57
simon_g. mmoh_m. 1.17 4.87
zverev_a. haase_r. 1.11 6.41
berlocq_c. albot_r. 1.89 1.88
nishioka_y. bolt_a. 1.53 2.48
raonic_m. brown_d. 1.04 10.88
goffin_d. opelka_r. 1.14 5.48
tiafoe_f. kukushkin_m. 1.54 2.45
carreno-busta_p. polansky_p. 1.22 4.24
nadal-parera_r. mayer_f. 1.04 11.02
edmund_k. giraldo_s. 1.29 3.49
baghdatis_m. youzhny_m. 1.6 2.31
thiem_d. struff_j.l. 1.29 3.51
muller_g. fritz_t. 1.35 3.14
whittington_a. pavlasek_a. 2.79 1.43
