ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,12/31/2017,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Schwartzman D.,169,26,315,1675,6,4,7,6,,,,,,,2,0,Completed,2.2,1.61,2.1,1.65,2.2,1.67,2.24,1.71,2.29,1.77,2.17,1.68
1,Brisbane,Brisbane International,12/31/2017,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Johnson S.,209,44,245,1055,7,6,6,4,,,,,,,2,0,Completed,2.75,1.4,2.8,1.38,2.75,1.44,3.14,1.41,3.25,1.44,2.96,1.39
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Harrison R.,Mayer L.,47,52,1010,909,6,4,3,6,6,2,,,,,2,1,Completed,1.61,2.2,1.62,2.15,1.67,2.2,1.66,2.35,1.75,2.35,1.67,2.17
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Tiafoe F.,76,79,670,662,6,3,6,2,,,,,,,2,0,Completed,2.5,1.5,2.35,1.53,2.37,1.57,2.38,1.64,2.52,1.65,2.37,1.58
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Zverev M.,Smith J.P.,33,218,1302,235,6,4,7,5,,,,,,,2,0,Completed,1.4,2.75,1.47,2.5,1.57,2.37,1.44,3,1.57,3,1.44,2.73
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Escobedo E.,66,120,768,498,6,3,6,4,,,,,,,2,0,Completed,2.2,1.61,2.15,1.62,2.1,1.73,2.22,1.73,2.38,1.75,2.2,1.66
1,Brisbane,Brisbane International,1/1/2018,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Thompson J.,54,94,890,593,6,2,6,4,,,,,,,2,0,Completed,1.83,1.83,1.85,1.85,1.91,1.91,1.99,1.9,2,2.02,1.89,1.89
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Mmoh M.,Delbonis F.,175,67,299,755,6,3,6,4,,,,,,,2,0,Completed,1.66,2.1,1.72,2,1.8,2,1.84,2.06,1.91,2.1,1.77,2.03
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Chung H.,Muller G.,58,25,844,1695,6,3,7,6,,,,,,,2,0,Completed,1.53,2.37,1.55,2.3,1.53,2.5,1.7,2.26,1.7,2.55,1.59,2.35
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Shapovalov D.,50,51,992,981,6,7,7,6,6,4,,,,,2,1,Completed,1.72,2,1.72,2,1.73,2.1,1.81,2.1,1.9,2.2,1.74,2.08
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Dzumhur D.,63,30,809,1391,6,7,6,3,6,2,,,,,2,1,Completed,2.62,1.44,2.5,1.47,2.5,1.53,2.8,1.49,2.8,1.57,2.53,1.51
1,Brisbane,Brisbane International,1/2/2018,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Polansky P.,128,137,436,404,7,6,6,0,,,,,,,2,0,Completed,1.33,3.25,1.3,3.2,1.36,3.25,1.33,3.57,1.42,3.65,1.33,3.27
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Zeballos H.,169,66,315,768,6,1,6,2,,,,,,,2,0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.36,3.45,1.39,3.45,1.34,3.2
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,Kyrgios N.,Ebden M.,21,76,2010,670,6,7,7,6,6,2,,,,,2,1,Completed,1.14,5.5,1.15,4.75,1.17,5,1.18,5.64,1.22,5.85,1.16,5.18
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,Mmoh M.,Zverev M.,175,33,299,1302,6,2,5,7,6,4,,,,,2,1,Completed,2.37,1.53,2.35,1.53,2.37,1.57,2.7,1.53,2.7,1.63,2.4,1.56
1,Brisbane,Brisbane International,1/3/2018,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Raonic M.,209,24,245,1795,6,4,6,4,,,,,,,2,0,Completed,4,1.22,4.1,1.2,4.33,1.22,4.83,1.22,5.01,1.26,4.4,1.2
1,Brisbane,Brisbane International,1/4/2018,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Donaldson J.,63,54,809,890,7,6,6,2,,,,,,,2,0,Completed,1.9,1.8,1.9,1.8,1.91,1.91,1.98,1.93,2.04,1.98,1.92,1.87
1,Brisbane,Brisbane International,1/4/2018,ATP250,Outdoor,Hard,2nd Round,3,Harrison R.,Hanfmann Y.,47,119,1010,499,6,7,6,4,6,2,,,,,2,1,Completed,1.36,3,1.3,3.2,1.36,3,1.34,3.6,1.44,3.64,1.34,3.21
1,Brisbane,Brisbane International,1/4/2018,ATP250,Outdoor,Hard,2nd Round,3,Edmund K.,Chung H.,50,58,992,844,7,6,5,7,6,4,,,,,2,1,Completed,2,1.72,2,1.72,2.1,1.73,2.11,1.82,2.23,1.83,2.06,1.74
